Iteration 0/50000  Rate: -0.7469 bit   loss = 0.7469
Iteration 100/50000  Rate: -0.0539 bit   loss = 0.0539
Iteration 200/50000  Rate: 0.0614 bit   loss = -0.0614
Iteration 300/50000  Rate: -0.0226 bit   loss = 0.0226
Iteration 400/50000  Rate: 0.1215 bit   loss = -0.1215
Iteration 500/50000  Rate: 0.2223 bit   loss = -0.2223
Iteration 600/50000  Rate: 0.2252 bit   loss = -0.2252
Iteration 700/50000  Rate: 0.0296 bit   loss = -0.0296
Iteration 800/50000  Rate: 0.2364 bit   loss = -0.2364
Iteration 900/50000  Rate: 0.2494 bit   loss = -0.2494
Iteration 1000/50000  Rate: 0.0490 bit   loss = -0.0490
Iteration 1100/50000  Rate: 0.3160 bit   loss = -0.3160
Iteration 1200/50000  Rate: 0.4159 bit   loss = -0.4159
Iteration 1300/50000  Rate: 0.3436 bit   loss = -0.3436
Iteration 1400/50000  Rate: 0.3435 bit   loss = -0.3435
Iteration 1500/50000  Rate: 0.9419 bit   loss = -0.9419
Iteration 1600/50000  Rate: 0.8061 bit   loss = -0.8061
Iteration 1700/50000  Rate: 0.9860 bit   loss = -0.9860
Iteration 1800/50000  Rate: 0.5716 bit   loss = -0.5716
Iteration 1900/50000  Rate: 0.6543 bit   loss = -0.6543
Iteration 2000/50000  Rate: 0.5622 bit   loss = -0.5622
Iteration 2100/50000  Rate: 0.5153 bit   loss = -0.5153
Iteration 2200/50000  Rate: 0.8027 bit   loss = -0.8027
Iteration 2300/50000  Rate: 0.2679 bit   loss = -0.2679
Iteration 2400/50000  Rate: 0.3183 bit   loss = -0.3183
Iteration 2500/50000  Rate: 0.9964 bit   loss = -0.9964
Iteration 2600/50000  Rate: 0.9969 bit   loss = -0.9969
Iteration 2700/50000  Rate: 0.6926 bit   loss = -0.6926
Iteration 2800/50000  Rate: 0.2692 bit   loss = -0.2692
Iteration 2900/50000  Rate: 0.9889 bit   loss = -0.9889
Iteration 3000/50000  Rate: 0.6595 bit   loss = -0.6595
Iteration 3100/50000  Rate: 0.9878 bit   loss = -0.9878
Iteration 3200/50000  Rate: 0.9416 bit   loss = -0.9416
Iteration 3300/50000  Rate: 0.9969 bit   loss = -0.9969
Iteration 3400/50000  Rate: 0.9930 bit   loss = -0.9930
Iteration 3500/50000  Rate: 0.8918 bit   loss = -0.8918
Iteration 3600/50000  Rate: 0.9969 bit   loss = -0.9969
Iteration 3700/50000  Rate: 0.9788 bit   loss = -0.9788
Iteration 3800/50000  Rate: 0.9983 bit   loss = -0.9983
Iteration 3900/50000  Rate: 0.3168 bit   loss = -0.3168
Iteration 4000/50000  Rate: 0.5513 bit   loss = -0.5513
Iteration 4100/50000  Rate: 0.5191 bit   loss = -0.5191
Iteration 4200/50000  Rate: 0.9821 bit   loss = -0.9821
Iteration 4300/50000  Rate: 0.9954 bit   loss = -0.9954
Iteration 4400/50000  Rate: 0.8014 bit   loss = -0.8014
Iteration 4500/50000  Rate: 0.9625 bit   loss = -0.9625
Iteration 4600/50000  Rate: 0.4975 bit   loss = -0.4975
Iteration 4700/50000  Rate: 0.2378 bit   loss = -0.2378
Iteration 4800/50000  Rate: 0.9842 bit   loss = -0.9842
Iteration 4900/50000  Rate: 0.9949 bit   loss = -0.9949
Iteration 5000/50000  Rate: 0.9889 bit   loss = -0.9889
Iteration 5100/50000  Rate: 0.9950 bit   loss = -0.9950
Iteration 5200/50000  Rate: 0.9967 bit   loss = -0.9967
Iteration 5300/50000  Rate: 0.9978 bit   loss = -0.9978
Iteration 5400/50000  Rate: 0.4144 bit   loss = -0.4144
Iteration 5500/50000  Rate: 0.3371 bit   loss = -0.3371
Iteration 5600/50000  Rate: 0.9793 bit   loss = -0.9793
Iteration 5700/50000  Rate: 0.9864 bit   loss = -0.9864
Iteration 5800/50000  Rate: 0.9925 bit   loss = -0.9925
Iteration 5900/50000  Rate: 0.9948 bit   loss = -0.9948
Iteration 6000/50000  Rate: 0.5227 bit   loss = -0.5227
Iteration 6100/50000  Rate: 0.9972 bit   loss = -0.9972
Iteration 6200/50000  Rate: 0.9987 bit   loss = -0.9987
Iteration 6300/50000  Rate: 0.9449 bit   loss = -0.9449
Iteration 6400/50000  Rate: 0.9663 bit   loss = -0.9663
Iteration 6500/50000  Rate: 0.4804 bit   loss = -0.4804
Iteration 6600/50000  Rate: 0.7086 bit   loss = -0.7086
Iteration 6700/50000  Rate: 0.9973 bit   loss = -0.9973
Iteration 6800/50000  Rate: 0.9945 bit   loss = -0.9945
Iteration 6900/50000  Rate: 0.9953 bit   loss = -0.9953
Iteration 7000/50000  Rate: 0.9996 bit   loss = -0.9996
Iteration 7100/50000  Rate: 0.8433 bit   loss = -0.8433
Iteration 7200/50000  Rate: 0.9907 bit   loss = -0.9907
Iteration 7300/50000  Rate: 0.9033 bit   loss = -0.9033
Iteration 7400/50000  Rate: 0.3639 bit   loss = -0.3639
Iteration 7500/50000  Rate: 0.9977 bit   loss = -0.9977
Iteration 7600/50000  Rate: 0.9942 bit   loss = -0.9942
Iteration 7700/50000  Rate: 0.5772 bit   loss = -0.5772
Iteration 7800/50000  Rate: 0.9941 bit   loss = -0.9941
Iteration 7900/50000  Rate: 0.9962 bit   loss = -0.9962
Iteration 8000/50000  Rate: 0.5525 bit   loss = -0.5525
Iteration 8100/50000  Rate: 0.9994 bit   loss = -0.9994
Iteration 8200/50000  Rate: 0.9957 bit   loss = -0.9957
Iteration 8300/50000  Rate: 0.9795 bit   loss = -0.9795
Iteration 8400/50000  Rate: 0.9983 bit   loss = -0.9983
Iteration 8500/50000  Rate: 0.9995 bit   loss = -0.9995
Iteration 8600/50000  Rate: 0.9955 bit   loss = -0.9955
Iteration 8700/50000  Rate: 0.8604 bit   loss = -0.8604
Iteration 8800/50000  Rate: 0.3475 bit   loss = -0.3475
Iteration 8900/50000  Rate: 0.9819 bit   loss = -0.9819
Iteration 9000/50000  Rate: 0.8006 bit   loss = -0.8006
Iteration 9100/50000  Rate: 0.9960 bit   loss = -0.9960
Iteration 9200/50000  Rate: 0.8712 bit   loss = -0.8712
Iteration 9300/50000  Rate: 0.9895 bit   loss = -0.9895
Iteration 9400/50000  Rate: 0.9928 bit   loss = -0.9928
Iteration 9500/50000  Rate: 0.7194 bit   loss = -0.7194
Iteration 9600/50000  Rate: 0.9980 bit   loss = -0.9980
Iteration 9700/50000  Rate: 0.9179 bit   loss = -0.9179
Iteration 9800/50000  Rate: 0.9968 bit   loss = -0.9968
Iteration 9900/50000  Rate: 0.6561 bit   loss = -0.6561
Iteration 10000/50000  Rate: 0.9979 bit   loss = -0.9979
Iteration 10100/50000  Rate: 0.9826 bit   loss = -0.9826
Iteration 10200/50000  Rate: 0.9987 bit   loss = -0.9987
Iteration 10300/50000  Rate: 0.8373 bit   loss = -0.8373
Iteration 10400/50000  Rate: 0.4138 bit   loss = -0.4138
Iteration 10500/50000  Rate: 0.4010 bit   loss = -0.4010
Iteration 10600/50000  Rate: 0.9904 bit   loss = -0.9904
Iteration 10700/50000  Rate: 0.9994 bit   loss = -0.9994
Iteration 10800/50000  Rate: 0.7644 bit   loss = -0.7644
Iteration 10900/50000  Rate: 0.9986 bit   loss = -0.9986
Iteration 11000/50000  Rate: 0.9987 bit   loss = -0.9987
Iteration 11100/50000  Rate: 0.9977 bit   loss = -0.9977
Iteration 11200/50000  Rate: 0.8660 bit   loss = -0.8660
Iteration 11300/50000  Rate: 0.9947 bit   loss = -0.9947
Iteration 11400/50000  Rate: 0.9952 bit   loss = -0.9952
Iteration 11500/50000  Rate: 0.9883 bit   loss = -0.9883
Iteration 11600/50000  Rate: 0.9981 bit   loss = -0.9981
Iteration 11700/50000  Rate: 0.5238 bit   loss = -0.5238
Iteration 11800/50000  Rate: 0.9956 bit   loss = -0.9956
Iteration 11900/50000  Rate: 0.4959 bit   loss = -0.4959
Iteration 12000/50000  Rate: 0.9890 bit   loss = -0.9890
Iteration 12100/50000  Rate: 0.3706 bit   loss = -0.3706
Iteration 12200/50000  Rate: 0.9964 bit   loss = -0.9964
Iteration 12300/50000  Rate: 0.9877 bit   loss = -0.9877
Iteration 12400/50000  Rate: 0.9903 bit   loss = -0.9903
Iteration 12500/50000  Rate: 0.9589 bit   loss = -0.9589
Iteration 12600/50000  Rate: 0.6201 bit   loss = -0.6201
Iteration 12700/50000  Rate: 0.9359 bit   loss = -0.9359
Iteration 12800/50000  Rate: 0.3376 bit   loss = -0.3376
Iteration 12900/50000  Rate: 0.5819 bit   loss = -0.5819
Iteration 13000/50000  Rate: 0.3684 bit   loss = -0.3684
Iteration 13100/50000  Rate: 0.5306 bit   loss = -0.5306
Iteration 13200/50000  Rate: 0.9997 bit   loss = -0.9997
Iteration 13300/50000  Rate: 0.9996 bit   loss = -0.9996
Iteration 13400/50000  Rate: 0.9979 bit   loss = -0.9979
Iteration 13500/50000  Rate: 0.9990 bit   loss = -0.9990
Iteration 13600/50000  Rate: 0.8992 bit   loss = -0.8992
Iteration 13700/50000  Rate: 0.4905 bit   loss = -0.4905
Iteration 13800/50000  Rate: 0.4464 bit   loss = -0.4464
Iteration 13900/50000  Rate: 0.6808 bit   loss = -0.6808
Iteration 14000/50000  Rate: 0.8995 bit   loss = -0.8995
Iteration 14100/50000  Rate: 0.9985 bit   loss = -0.9985
Iteration 14200/50000  Rate: 0.8111 bit   loss = -0.8111
Iteration 14300/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 14400/50000  Rate: 0.9992 bit   loss = -0.9992
Iteration 14500/50000  Rate: 0.7840 bit   loss = -0.7840
Iteration 14600/50000  Rate: 0.9968 bit   loss = -0.9968
Iteration 14700/50000  Rate: 0.9984 bit   loss = -0.9984
Iteration 14800/50000  Rate: 0.9987 bit   loss = -0.9987
Iteration 14900/50000  Rate: 0.9952 bit   loss = -0.9952
Iteration 15000/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 15100/50000  Rate: 0.9997 bit   loss = -0.9997
Iteration 15200/50000  Rate: 0.3725 bit   loss = -0.3725
Iteration 15300/50000  Rate: 0.5161 bit   loss = -0.5161
Iteration 15400/50000  Rate: 0.9987 bit   loss = -0.9987
