Iteration 0/50000  Rate: -0.3441 bit   loss = 0.3441
Iteration 100/50000  Rate: 0.0141 bit   loss = -0.0141
Iteration 200/50000  Rate: 0.2103 bit   loss = -0.2103
Iteration 300/50000  Rate: 0.0492 bit   loss = -0.0492
Iteration 400/50000  Rate: 0.0692 bit   loss = -0.0692
Iteration 500/50000  Rate: 0.3309 bit   loss = -0.3309
Iteration 600/50000  Rate: 0.2948 bit   loss = -0.2948
Iteration 700/50000  Rate: 0.6991 bit   loss = -0.6991
Iteration 800/50000  Rate: 0.5955 bit   loss = -0.5955
Iteration 900/50000  Rate: 0.9463 bit   loss = -0.9463
Iteration 1000/50000  Rate: 0.8167 bit   loss = -0.8167
Iteration 1100/50000  Rate: 0.9468 bit   loss = -0.9468
Iteration 1200/50000  Rate: 0.4499 bit   loss = -0.4499
Iteration 1300/50000  Rate: 0.9786 bit   loss = -0.9786
Iteration 1400/50000  Rate: 0.5034 bit   loss = -0.5034
Iteration 1500/50000  Rate: 0.5016 bit   loss = -0.5016
Iteration 1600/50000  Rate: 0.9358 bit   loss = -0.9358
Iteration 1700/50000  Rate: 0.7623 bit   loss = -0.7623
Iteration 1800/50000  Rate: 0.9326 bit   loss = -0.9326
Iteration 1900/50000  Rate: 0.9804 bit   loss = -0.9804
Iteration 2000/50000  Rate: 0.7900 bit   loss = -0.7900
Iteration 2100/50000  Rate: 0.9649 bit   loss = -0.9649
Iteration 2200/50000  Rate: 0.9497 bit   loss = -0.9497
Iteration 2300/50000  Rate: 0.9767 bit   loss = -0.9767
Iteration 2400/50000  Rate: 0.9802 bit   loss = -0.9802
Iteration 2500/50000  Rate: 0.2289 bit   loss = -0.2289
Iteration 2600/50000  Rate: 0.8211 bit   loss = -0.8211
Iteration 2700/50000  Rate: 0.7004 bit   loss = -0.7004
Iteration 2800/50000  Rate: 0.9954 bit   loss = -0.9954
Iteration 2900/50000  Rate: 0.9573 bit   loss = -0.9573
Iteration 3000/50000  Rate: 0.9890 bit   loss = -0.9890
Iteration 3100/50000  Rate: 0.9954 bit   loss = -0.9954
Iteration 3200/50000  Rate: 0.7856 bit   loss = -0.7856
Iteration 3300/50000  Rate: 0.9971 bit   loss = -0.9971
Iteration 3400/50000  Rate: 0.6743 bit   loss = -0.6743
Iteration 3500/50000  Rate: 0.2350 bit   loss = -0.2350
Iteration 3600/50000  Rate: 0.7279 bit   loss = -0.7279
Iteration 3700/50000  Rate: 0.8475 bit   loss = -0.8475
Iteration 3800/50000  Rate: 0.9961 bit   loss = -0.9961
Iteration 3900/50000  Rate: 0.7352 bit   loss = -0.7352
Iteration 4000/50000  Rate: 0.9957 bit   loss = -0.9957
Iteration 4100/50000  Rate: 0.9466 bit   loss = -0.9466
Iteration 4200/50000  Rate: 0.8120 bit   loss = -0.8120
Iteration 4300/50000  Rate: 0.6848 bit   loss = -0.6848
Iteration 4400/50000  Rate: 0.9932 bit   loss = -0.9932
Iteration 4500/50000  Rate: 0.9904 bit   loss = -0.9904
Iteration 4600/50000  Rate: 0.6415 bit   loss = -0.6415
Iteration 4700/50000  Rate: 0.8920 bit   loss = -0.8920
Iteration 4800/50000  Rate: 0.8144 bit   loss = -0.8144
Iteration 4900/50000  Rate: 0.7979 bit   loss = -0.7979
Iteration 5000/50000  Rate: 0.2668 bit   loss = -0.2668
Iteration 5100/50000  Rate: 0.9969 bit   loss = -0.9969
Iteration 5200/50000  Rate: 0.9976 bit   loss = -0.9976
Iteration 5300/50000  Rate: 0.9709 bit   loss = -0.9709
Iteration 5400/50000  Rate: 0.9164 bit   loss = -0.9164
Iteration 5500/50000  Rate: 0.6289 bit   loss = -0.6289
Iteration 5600/50000  Rate: 0.9981 bit   loss = -0.9981
Iteration 5700/50000  Rate: 0.9968 bit   loss = -0.9968
Iteration 5800/50000  Rate: 0.8893 bit   loss = -0.8893
Iteration 5900/50000  Rate: 0.5953 bit   loss = -0.5953
Iteration 6000/50000  Rate: 0.9159 bit   loss = -0.9159
Iteration 6100/50000  Rate: 0.3731 bit   loss = -0.3731
Iteration 6200/50000  Rate: 0.9943 bit   loss = -0.9943
Iteration 6300/50000  Rate: 0.9981 bit   loss = -0.9981
Iteration 6400/50000  Rate: 0.9988 bit   loss = -0.9988
Iteration 6500/50000  Rate: 0.9979 bit   loss = -0.9979
Iteration 6600/50000  Rate: 0.6049 bit   loss = -0.6049
Iteration 6700/50000  Rate: 0.9987 bit   loss = -0.9987
Iteration 6800/50000  Rate: 0.9678 bit   loss = -0.9678
Iteration 6900/50000  Rate: 0.9468 bit   loss = -0.9468
Iteration 7000/50000  Rate: 0.2303 bit   loss = -0.2303
Iteration 7100/50000  Rate: 0.9879 bit   loss = -0.9879
Iteration 7200/50000  Rate: 0.2532 bit   loss = -0.2532
Iteration 7300/50000  Rate: 0.9982 bit   loss = -0.9982
Iteration 7400/50000  Rate: 0.9976 bit   loss = -0.9976
Iteration 7500/50000  Rate: 0.9970 bit   loss = -0.9970
Iteration 7600/50000  Rate: 0.7579 bit   loss = -0.7579
Iteration 7700/50000  Rate: 0.2867 bit   loss = -0.2867
Iteration 7800/50000  Rate: 0.7673 bit   loss = -0.7673
Iteration 7900/50000  Rate: 0.5586 bit   loss = -0.5586
Iteration 8000/50000  Rate: 0.9755 bit   loss = -0.9755
Iteration 8100/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 8200/50000  Rate: 0.0961 bit   loss = -0.0961
Iteration 8300/50000  Rate: 0.5771 bit   loss = -0.5771
Iteration 8400/50000  Rate: 0.9776 bit   loss = -0.9776
Iteration 8500/50000  Rate: 0.9996 bit   loss = -0.9996
Iteration 8600/50000  Rate: 0.3831 bit   loss = -0.3831
Iteration 8700/50000  Rate: 0.9984 bit   loss = -0.9984
Iteration 8800/50000  Rate: 0.9870 bit   loss = -0.9870
Iteration 8900/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 9000/50000  Rate: 0.7623 bit   loss = -0.7623
Iteration 9100/50000  Rate: 0.9997 bit   loss = -0.9997
Iteration 9200/50000  Rate: 0.9733 bit   loss = -0.9733
Iteration 9300/50000  Rate: 0.9985 bit   loss = -0.9985
Iteration 9400/50000  Rate: 0.7044 bit   loss = -0.7044
Iteration 9500/50000  Rate: 0.9996 bit   loss = -0.9996
Iteration 9600/50000  Rate: 0.5475 bit   loss = -0.5475
Iteration 9700/50000  Rate: 0.9985 bit   loss = -0.9985
Iteration 9800/50000  Rate: 0.6843 bit   loss = -0.6843
Iteration 9900/50000  Rate: 0.7559 bit   loss = -0.7559
Iteration 10000/50000  Rate: 0.9995 bit   loss = -0.9995
Iteration 10100/50000  Rate: 0.6516 bit   loss = -0.6516
Iteration 10200/50000  Rate: 0.9501 bit   loss = -0.9501
Iteration 10300/50000  Rate: 0.9976 bit   loss = -0.9976
Iteration 10400/50000  Rate: 0.9740 bit   loss = -0.9740
Iteration 10500/50000  Rate: 0.4028 bit   loss = -0.4028
Iteration 10600/50000  Rate: 0.3901 bit   loss = -0.3901
Iteration 10700/50000  Rate: 0.9216 bit   loss = -0.9216
Iteration 10800/50000  Rate: 0.9007 bit   loss = -0.9007
Iteration 10900/50000  Rate: 0.9837 bit   loss = -0.9837
Iteration 11000/50000  Rate: 0.3619 bit   loss = -0.3619
Iteration 11100/50000  Rate: 0.5596 bit   loss = -0.5596
Iteration 11200/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 11300/50000  Rate: 0.9969 bit   loss = -0.9969
Iteration 11400/50000  Rate: 0.8751 bit   loss = -0.8751
Iteration 11500/50000  Rate: 0.9997 bit   loss = -0.9997
Iteration 11600/50000  Rate: 0.9995 bit   loss = -0.9995
Iteration 11700/50000  Rate: 0.6520 bit   loss = -0.6520
Iteration 11800/50000  Rate: 0.9995 bit   loss = -0.9995
Iteration 11900/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 12000/50000  Rate: 0.7980 bit   loss = -0.7980
Iteration 12100/50000  Rate: 0.8039 bit   loss = -0.8039
Iteration 12200/50000  Rate: 0.9980 bit   loss = -0.9980
Iteration 12300/50000  Rate: 0.2654 bit   loss = -0.2654
Iteration 12400/50000  Rate: 0.9994 bit   loss = -0.9994
Iteration 12500/50000  Rate: 0.9988 bit   loss = -0.9988
Iteration 12600/50000  Rate: 0.9956 bit   loss = -0.9956
Iteration 12700/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 12800/50000  Rate: 0.9855 bit   loss = -0.9855
Iteration 12900/50000  Rate: 0.4277 bit   loss = -0.4277
Iteration 13000/50000  Rate: 0.9859 bit   loss = -0.9859
Iteration 13100/50000  Rate: 0.7744 bit   loss = -0.7744
Iteration 13200/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 13300/50000  Rate: 0.9821 bit   loss = -0.9821
Iteration 13400/50000  Rate: 0.9810 bit   loss = -0.9810
Iteration 13500/50000  Rate: 0.9730 bit   loss = -0.9730
Iteration 13600/50000  Rate: 0.7282 bit   loss = -0.7282
Iteration 13700/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 13800/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 13900/50000  Rate: 0.9985 bit   loss = -0.9985
Iteration 14000/50000  Rate: 0.5062 bit   loss = -0.5062
Iteration 14100/50000  Rate: 0.7876 bit   loss = -0.7876
Iteration 14200/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 14300/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 14400/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 14500/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 14600/50000  Rate: 0.3228 bit   loss = -0.3228
Iteration 14700/50000  Rate: 0.9942 bit   loss = -0.9942
