Iteration 0/50000  Rate: -0.5748 bit
Iteration 100/50000  Rate: -0.0073 bit
Iteration 200/50000  Rate: 0.0389 bit
Iteration 300/50000  Rate: 0.0635 bit
Iteration 400/50000  Rate: 0.0409 bit
Iteration 500/50000  Rate: 0.0211 bit
Iteration 600/50000  Rate: -0.0308 bit
Iteration 700/50000  Rate: 0.1137 bit
Iteration 800/50000  Rate: 0.0582 bit
Iteration 900/50000  Rate: 0.1353 bit
Iteration 1000/50000  Rate: 0.0262 bit
Iteration 1100/50000  Rate: 0.1247 bit
Iteration 1200/50000  Rate: 0.1528 bit
Iteration 1300/50000  Rate: 0.0337 bit
Iteration 1400/50000  Rate: 0.1612 bit
Iteration 1500/50000  Rate: 0.1976 bit
Iteration 1600/50000  Rate: 0.1267 bit
Iteration 1700/50000  Rate: 0.0676 bit
Iteration 1800/50000  Rate: 0.4406 bit
Iteration 1900/50000  Rate: 0.2341 bit
Iteration 2000/50000  Rate: 0.3741 bit
Iteration 2100/50000  Rate: 0.4306 bit
Iteration 2200/50000  Rate: 0.4399 bit
Iteration 2300/50000  Rate: 0.4162 bit
Iteration 2400/50000  Rate: 0.1782 bit
Iteration 2500/50000  Rate: 0.2113 bit
Iteration 2600/50000  Rate: 0.2283 bit
Iteration 2700/50000  Rate: 0.1446 bit
Iteration 2800/50000  Rate: 0.6224 bit
Iteration 2900/50000  Rate: 0.1995 bit
Iteration 3000/50000  Rate: 0.5539 bit
Iteration 3100/50000  Rate: 0.4546 bit
Iteration 3200/50000  Rate: 0.7188 bit
Iteration 3300/50000  Rate: 0.5280 bit
Iteration 3400/50000  Rate: 0.5497 bit
Iteration 3500/50000  Rate: 0.3680 bit
Iteration 3600/50000  Rate: 0.2089 bit
Iteration 3700/50000  Rate: 0.7362 bit
Iteration 3800/50000  Rate: 0.2404 bit
Iteration 3900/50000  Rate: 0.2396 bit
Iteration 4000/50000  Rate: 0.6129 bit
Iteration 4100/50000  Rate: 0.4583 bit
Iteration 4200/50000  Rate: 0.6157 bit
Iteration 4300/50000  Rate: 0.4689 bit
Iteration 4400/50000  Rate: 0.4054 bit
Iteration 4500/50000  Rate: 0.2409 bit
Iteration 4600/50000  Rate: 0.7500 bit
Iteration 4700/50000  Rate: 0.3414 bit
Iteration 4800/50000  Rate: 0.7239 bit
Iteration 4900/50000  Rate: 0.6047 bit
Iteration 5000/50000  Rate: 0.7883 bit
Iteration 5100/50000  Rate: 0.6193 bit
Iteration 5200/50000  Rate: 0.2578 bit
Iteration 5300/50000  Rate: 0.6600 bit
Iteration 5400/50000  Rate: 0.5092 bit
Iteration 5500/50000  Rate: 0.6077 bit
Iteration 5600/50000  Rate: 0.4772 bit
Iteration 5700/50000  Rate: 0.6593 bit
Iteration 5800/50000  Rate: 0.7035 bit
Iteration 5900/50000  Rate: 0.5303 bit
Iteration 6000/50000  Rate: 0.7713 bit
Iteration 6100/50000  Rate: 0.6333 bit
Iteration 6200/50000  Rate: 0.3691 bit
Iteration 6300/50000  Rate: 0.5043 bit
Iteration 6400/50000  Rate: 0.3633 bit
Iteration 6500/50000  Rate: 0.4138 bit
Iteration 6600/50000  Rate: 0.3337 bit
Iteration 6700/50000  Rate: 0.3219 bit
Iteration 6800/50000  Rate: 0.2235 bit
Iteration 6900/50000  Rate: 0.4033 bit
Iteration 7000/50000  Rate: 0.4535 bit
Iteration 7100/50000  Rate: 0.2108 bit
Iteration 7200/50000  Rate: 0.2146 bit
Iteration 7300/50000  Rate: 0.7284 bit
Iteration 7400/50000  Rate: 0.3855 bit
Iteration 7500/50000  Rate: 0.4682 bit
Iteration 7600/50000  Rate: 0.6722 bit
Iteration 7700/50000  Rate: 0.2899 bit
Iteration 7800/50000  Rate: 0.3664 bit
Iteration 7900/50000  Rate: 0.6553 bit
Iteration 8000/50000  Rate: 0.2261 bit
Iteration 8100/50000  Rate: 0.4502 bit
Iteration 8200/50000  Rate: 0.4270 bit
Iteration 8300/50000  Rate: 0.5339 bit
Iteration 8400/50000  Rate: 0.5297 bit
Iteration 8500/50000  Rate: 0.6606 bit
Iteration 8600/50000  Rate: 0.8143 bit
Iteration 8700/50000  Rate: 0.5196 bit
Iteration 8800/50000  Rate: 0.6539 bit
Iteration 8900/50000  Rate: 0.2634 bit
Iteration 9000/50000  Rate: 0.7472 bit
Iteration 9100/50000  Rate: 0.4215 bit
Iteration 9200/50000  Rate: 0.2727 bit
Iteration 9300/50000  Rate: 0.5519 bit
Iteration 9400/50000  Rate: 0.7618 bit
Iteration 9500/50000  Rate: 0.4218 bit
Iteration 9600/50000  Rate: 0.3763 bit
Iteration 9700/50000  Rate: 0.7880 bit
Iteration 9800/50000  Rate: 0.4123 bit
Iteration 9900/50000  Rate: 0.6923 bit
Iteration 10000/50000  Rate: 0.2748 bit
Iteration 10100/50000  Rate: 0.2353 bit
Iteration 10200/50000  Rate: 0.6219 bit
Iteration 10300/50000  Rate: 0.2151 bit
Iteration 10400/50000  Rate: 0.5988 bit
