Iteration 0/50000  Rate: -0.4401 bit   loss = 0.4401
Iteration 100/50000  Rate: -0.0005 bit   loss = 0.0005
Iteration 200/50000  Rate: 0.1093 bit   loss = -0.1093
Iteration 300/50000  Rate: 0.0429 bit   loss = -0.0429
Iteration 400/50000  Rate: 0.1508 bit   loss = -0.1508
Iteration 500/50000  Rate: 0.1889 bit   loss = -0.1889
Iteration 600/50000  Rate: 0.2698 bit   loss = -0.2698
Iteration 700/50000  Rate: 0.1603 bit   loss = -0.1603
Iteration 800/50000  Rate: 0.2310 bit   loss = -0.2310
Iteration 900/50000  Rate: 0.4873 bit   loss = -0.4873
Iteration 1000/50000  Rate: 0.4423 bit   loss = -0.4423
Iteration 1100/50000  Rate: 0.4882 bit   loss = -0.4882
Iteration 1200/50000  Rate: 0.4516 bit   loss = -0.4516
Iteration 1300/50000  Rate: 0.2118 bit   loss = -0.2118
Iteration 1400/50000  Rate: 0.5710 bit   loss = -0.5710
Iteration 1500/50000  Rate: 0.3502 bit   loss = -0.3502
Iteration 1600/50000  Rate: 0.3469 bit   loss = -0.3469
Iteration 1700/50000  Rate: 0.5835 bit   loss = -0.5835
Iteration 1800/50000  Rate: 0.6511 bit   loss = -0.6511
Iteration 1900/50000  Rate: 0.3516 bit   loss = -0.3516
Iteration 2000/50000  Rate: 0.3071 bit   loss = -0.3071
Iteration 2100/50000  Rate: 0.3378 bit   loss = -0.3378
Iteration 2200/50000  Rate: 0.5709 bit   loss = -0.5709
Iteration 2300/50000  Rate: 0.2302 bit   loss = -0.2302
Iteration 2400/50000  Rate: 0.2036 bit   loss = -0.2036
Iteration 2500/50000  Rate: 0.1763 bit   loss = -0.1763
Iteration 2600/50000  Rate: 0.6552 bit   loss = -0.6552
Iteration 2700/50000  Rate: 0.6532 bit   loss = -0.6532
Iteration 2800/50000  Rate: 0.5987 bit   loss = -0.5987
Iteration 2900/50000  Rate: 0.5927 bit   loss = -0.5927
Iteration 3000/50000  Rate: 0.5091 bit   loss = -0.5091
Iteration 3100/50000  Rate: 0.3816 bit   loss = -0.3816
Iteration 3200/50000  Rate: 0.5611 bit   loss = -0.5611
Iteration 3300/50000  Rate: 0.3227 bit   loss = -0.3227
Iteration 3400/50000  Rate: 0.3094 bit   loss = -0.3094
Iteration 3500/50000  Rate: 0.6987 bit   loss = -0.6987
Iteration 3600/50000  Rate: 0.2165 bit   loss = -0.2165
Iteration 3700/50000  Rate: 0.2381 bit   loss = -0.2381
Iteration 3800/50000  Rate: 0.4415 bit   loss = -0.4415
Iteration 3900/50000  Rate: 0.2026 bit   loss = -0.2026
Iteration 4000/50000  Rate: 0.3833 bit   loss = -0.3833
Iteration 4100/50000  Rate: 0.6320 bit   loss = -0.6320
Iteration 4200/50000  Rate: 0.5382 bit   loss = -0.5382
Iteration 4300/50000  Rate: 0.5469 bit   loss = -0.5469
Iteration 4400/50000  Rate: 0.2033 bit   loss = -0.2033
